Age,Word,C_freq,ld,dd,pkc
24,back,6654,0.800000000, 0.297029703,0.441458986
25,back,7172,0.810000000, 0.311565199,0.491993830
26,back,7731,0.824000000, 0.327996629,0.566155172
27,back,8147,0.832000000, 0.344006741,0.588687891
28,back,8650,0.838000000, 0.367811249,0.714827863
29,back,9340,0.846000000, 0.388877186,0.656047989
30,back,10019,0.858000000, 0.422582684,0.764131577
16,bad,210,0.290000000, 0.025068464,0.083235028
17,bad,235,0.310000000, 0.027807036,0.092601898
18,bad,248,0.328000000, 0.030124289,0.144385027
19,bad,289,0.350000000, 0.033705498,0.192697875
20,bad,329,0.368000000, 0.037918685,0.213340549
21,bad,388,0.384000000, 0.042763851,0.235388737
22,bad,425,0.406000000, 0.046977038,0.336704793
23,bad,469,0.428000000, 0.052664841,0.384720490
24,bad,520,0.444000000, 0.059195281,0.431042809
25,bad,583,0.466000000, 0.065936381,0.480018029
26,bad,656,0.474000000, 0.071202865,0.551086702
27,bad,710,0.490000000, 0.076890668,0.572655015
28,bad,815,0.516000000, 0.084685064,0.696471417
29,bad,959,0.542000000, 0.094375395,0.642837422
30,bad,1062,0.556000000, 0.101116495,0.753062544
16,ball,3031,0.676000000, 0.084263746,0.134262001
17,ball,3350,0.696000000, 0.097113967,0.150087688
18,ball,3706,0.712000000, 0.112070782,0.216002267
19,ball,4440,0.734000000, 0.124921003,0.260965823
20,ball,5247,0.758000000, 0.145144302,0.281775376
21,ball,5660,0.772000000, 0.155677270,0.308482513
22,ball,5928,0.784000000, 0.165788919,0.411330989
23,ball,6155,0.794000000, 0.174215294,0.459423005
24,ball,6347,0.796000000, 0.185590900,0.504084129
25,ball,6477,0.804000000, 0.192542659,0.552619772
26,ball,6579,0.808000000, 0.197809143,0.618623986
27,ball,6791,0.808000000, 0.204128924,0.641074828
28,ball,7120,0.814000000, 0.212344639,0.754116311
29,ball,7387,0.818000000, 0.220349695,0.700899738
30,ball,7516,0.822000000, 0.227301454,0.797780424
16,balloon,197,0.244000000, 0.013482199,0.129623526
17,balloon,227,0.278000000, 0.016642090,0.151919031
18,balloon,298,0.332000000, 0.020223299,0.215292299
19,balloon,317,0.346000000, 0.021908574,0.260522447
20,balloon,343,0.368000000, 0.025068464,0.280719112
21,balloon,354,0.368000000, 0.026332420,0.310377451
22,balloon,378,0.386000000, 0.029070992,0.418820225
23,balloon,439,0.420000000, 0.032441542,0.464604931
24,balloon,530,0.458000000, 0.038340004,0.502976485
25,balloon,565,0.470000000, 0.040867917,0.549433991
26,balloon,593,0.478000000, 0.042763851,0.611186097
27,balloon,626,0.490000000, 0.044449126,0.635394944
28,balloon,640,0.494000000, 0.046345060,0.747753939
29,balloon,662,0.500000000, 0.048662313,0.697336945
30,balloon,724,0.506000000, 0.050768907,0.795197571
16,banana,417,0.342000000, 0.030124289,0.177926353
17,banana,486,0.374000000, 0.036444070,0.197263146
18,banana,571,0.404000000, 0.043185170,0.279230267
19,banana,611,0.420000000, 0.047609016,0.329472330
20,banana,653,0.432000000, 0.052032863,0.347530629
21,banana,742,0.452000000, 0.056667369,0.365176838
22,banana,853,0.480000000, 0.061723194,0.461023026
23,banana,919,0.502000000, 0.067832315,0.499691153
24,banana,1056,0.534000000, 0.080893196,0.527079919
25,banana,1103,0.548000000, 0.084474405,0.575076714
26,banana,1146,0.554000000, 0.087844955,0.632828346
27,banana,1169,0.560000000, 0.090162208,0.655512686
28,banana,1246,0.570000000, 0.092900779,0.764544150
29,banana,1305,0.578000000, 0.097113967,0.713842155
